judul-abstrak,kategori,lang,,,,,
integration of spectral and textural features from ikonos image to classify vegetation cover in mountainous area studi mengevaluasi penggunaan fitur spektral tekstur terintegrasi citra ikonos mengindentifikasi tipetipe tutupan lahan pertanian daerah pegunungan studi meliputi pra pengolahan citra pengembangan metode kuantisasi citra penghitungan nilai tekstur pembuatan dataset penilaian akurasi pra pengolahan citra berfokus registrasi citra normalisasi topografis studi dikembangkan metode kuantisasi citra segmentasi citra filter ratarata segmentasi citra mengklasifikasi citra kedalam segmentasi berdasarkan determinasi total piksel kelas filter ratarata mengelompokkan citra berdasarkan ratarata nilai angka dijital ukuran window ukuran tekstur inverse difference moment contrast entropy energy dihitung grey level cooccurrence matrix glcm hasil studi kombinasi aspek spektral tekstur meningkatkan akurasi klasifikasi signifikan dibandingkan klasifikasi fitur spektral segmentasi citra filter ratarata bentukbentuk spasial tipe tutupan lahan pertanian efektif dibanding citra derajat keabuan ketelitian meningkat integrasi spektral fitur tekstur inverse difference moment energy,0,"<re.Match object; span=(0, 2), match='id'>",,,,119,pengolahan citra
integrasi discrete wavelet transform singular value decomposition watermarking citra perlindungan hak cipta tren watermarking mengoptimalkan tradeoff imperceptibility visibilitas citra terwatermark pengaruh distorsi robustness penyisipan watermark kekuatan penyisipan berdasarkan single scaling factor ssf multiple scaling factor msf ditemukan penelitian mengusulkan metode penyisipan watermark perlindungan hak cipta citra algoritma ekstraksi citra terwatermark dioptimalkan penggabungan discrete wavelet transform dwt singular value decomposition svd nilainilai singular ll koefisien subband citra host dimodifikasi nilai tunggal citra watermark biner msfs kontribusi utama skema diusulkan aplikasi dwtsvd mengidentifikasi faktor skala optimal hasil penelitian skema diusulkan menghasilkan nilai peak signal to noise ratio psnr kualitas visual gambar citra watermarking mengoptimalkan tradeoff tradeoff imperceptibility visibilitas citra terwatermark pengaruh distorsi robustness citra terwatermark operasi pengolahan citra nilai psnr citra diujikan baboon boat cameraman lena man pepper delapan perlakuan khusus hasil citra terwatermark diujikan diekstraksi jpeg noise gaussian filter sharpening histogram equalization scaling gray quantitation bit cropping hasil perlakuan khusus diukur nilai normalized crosscorrelation nc menghasilkan ratarata citra diperoleh hasil penelitian metode diusulkan unggul nilai psnr nc penelitian disimpulkan penerapan metode dwtsvd menghasilkan citra robust memiliki tingkat imperceptibility,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
analisis citra ginjal identifikasi sel piknosis sel nekrosis ginjal organ mengatur komposisi kimia lingkungan proses majemuk melibatkan filtrasi absorpsi aktif absorpsi pasif sekresi ginjal mengatur tekanan darah volume darah tubuh halnya hati ginjal rawan zatzat kimia zat kimia ginjal diduga mengakibatkan kerusakan sel piknosis nekrosis piknosis pengerutan inti homogenisasi sitoplasma peningkatan eosinofil nekrosis kematian sel jaringan akibat jejas individu hidup penelitian bidang biologi menentukan sil piknosis nekrosis mengirangira perhitungan manual data dihasilkan memiliki nilai eror relatif tipisnya perbedaan ciri selsel perbedaan persepsi orang menghitung sel piknosis nekrosis mengatasi pemikiran inovasi teknologi praktis mempermudah penghitungan selsel berdasarkan latar penelitian tujuan mencari nilai threshold identifikasi sel piknosis nekrosis mencari ketepatan program aplikasi penghitungan sel,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
pengenalan tingkat kematangan buah pepaya paya rabo pengolahan citra berdasarkan warna rgb means clustering proses identifikasi buahbuahan tradisional mengalami kendala akibat sifat manusia kelemahan menyebabkan hasil efektif kemajuan teknologi komputer menyentuh dunia pertanian segi panen pasca panen timbul permasalahan mengenali buah sesuai kondisi nyata kondisi buah pepaya ditentukan tingkat kematangan sisi warna pepaya klasifikasi lakukan petani mengelompokkan pepaya katagori muda mengkal masak penuh metode pengolahan citra kemampuan menganalisa kondisi kematangan pepaya nilai red green blue rgb acuan penentuan klasifikasi metode kmeans clustering selisih jarak eucludian acuannya hasil kelompok pepaya muda berhasil dikenali pepaya muda kelompok pepaya mengkal berhasil dikenali masak mengkal kelompok pepaya penuh dikenali masak penuh disimpulkan metode kmeans clustering proses klasifikasi petani berpengalaman bertahun,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
metode ekstraksi ciri dpca pengenalan citra wajah matlab penelitian pengenalan wajah metode penelitian menarik seiring perkembangan teknologi metode pengolahan citra metode ekstraksi ciri pengenalan wajahpun mengidentifikasi citra wajah spesifik karakteristik terukur penelitian peneliti ekstraksi ciri dimensional principal component analysis dpca aplikasi matlab data diambil digital image cropping mendapatnya citra wajah proses citra wajah dibaca matrik berukuran pixel konversi bentuk grayscale ekstraksi ciri dpca pengujian citra wajah metode jarak euclid metode euclid metode membandingkan jarak citra pengujian basis data citra pelatihan memiliki jarak minimal pengelompokan data latih data uji fold cross validation hasil akurasi diperoleh percobaan wajah prosentase nilai eigen hasilnya mencapai ratarata diatas,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
penentuan wilayah wajah manusia citra berwarna berdasarkan warna kulit metode template matching penentuan wilayah wajah citra digital mengalami perkembangan dekade penerapannya bidang penyidikan penelitian ilmiah penentuan wilayah wajah penentuan wilayah wajah mudah dikenali penglihatan manusia automatisasi pengolahan komputer teknik pengolahan citra,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
pengolahan citra digital menghitung luas daerah bekas penambangan timah kehadiran teknologi pengolahan citra kemajuan bidang pemanfaatan citra satelit tahapan pengolahan diperoleh informasi fitur citra digital luas ukuran objek provinsi kepulauan bangka belitung daerah penambangan timah penelitian pengolahan citra digital wilayah provinsi kepulauan bangka belitung memiliki daerah bekas penambangan timah luasnya penelitian survei lapangan memperoleh data koordinat ukuran lebar daerah bekas penambangan timah koordinat memperoleh citra satelit daerah bekas penambangan timah citra satelit citra warna rgb diubah citra grayscale citra grayscale diperbaiki proses perenggangan kontras diubah citra biner operasi morfologi erosi dilasi diterapkan citra biner dihitung piksel objek daerah bekas penambangan timah citra ukuran lebar daerah bekas penambangan timah nilai skala menghitung luas objek citra daerah bekas penambangan timah satuan,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
perancangan aplikasi segmentasi citra digital mengunakan metode quadtree partitoning approach citra representasi gambaran objek citra digital tampilan citra terkadang sesuai diharapkan gangguan noise pengolahan citra menyebabkan tereduksinya citra aslinya ketajaman tampilan citra reduksi pengolahan citra terjadiuntuk mengatasi pengolahan citra digital menajamkan tampilan citra skripsi mengatasi efek kabur citra metode quadtree partitonig approach citra kabur disharpening matriks berukuran quadtree partitonig approach piksel terkandung didalam citra program mempermudah mengolah gambar kabur tajam program memiliki tampilan mudah pahami pengguna bertujuan membandingkan quadtree partitonig approach mempertajaml memperjelas citra semuia buram mengimplementasikan metode quadtree partitonig approach operasi penajaman citra,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
prototype aplikasi mengukur kematangan buah apel berdasar kemiripan warna industri pengolahan hasil pertanian perkebunan berkembang pesat salahsatu tahap proses pengolahan hasil perkebunan pemilahan produk berdasar kualitasnya tingkat kematangan buah proses pemilahan produk hasil pertanian perkebunan bergantung persepsi manusia faktor komposisi warna dimiliki citra buahbuahan,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
aplikasi pendeteksi tanda air uang kertas metode segmentasi region based active contour matlab pengolahan citra digital berkembang kegunaannya sistem pengenalan gangguan kriminalitas pengenalan objek unik tanda air uang rupiah metode pengolahan citra mendeteksi tanda air uang kertas contohnya segmentasi citra segmentasi citra tahapan proses pengenalan pola segmentasi citra bertujuan memisahkan objek foreground background keluaran hasil segmentasi citra citra biner segmentasi citra metode contohnya region segmentation berbasis active contour active contour kurva tertutup mendeteksi objek kurva bergerak melebar menyempit objek tugas penulis aplikasi mendeteksi tanda air citra uang kertas metode segmentasi citra region based active contour aplikasi berhasil matlab versi ra,0,"<re.Match object; span=(0, 2), match='id'>",,,,,
